model,seed,subset,n_cases,Recall@20,NDCG@20,MRR@20,Coverage@20
MetadataComiRecSA+LabelAware+DivReg,43,target_pop_mid,213442,0.008156782638843339,0.0026820936309416388,0.0012464001388095673,0.21635
MetadataComiRecSA+LabelAware+DivReg,43,target_pop_tail,45446,0.00167231439510628,0.0004783025199158469,0.00016998214102125674,0.18195
MetadataComiRecSA+LabelAware+DivReg,44,all,558270,0.027574471134039085,0.010447615413671445,0.005825474293962481,0.1662
MetadataComiRecSA+LabelAware+DivReg,44,len_short,188849,0.028588978496047107,0.011020159056522365,0.0062621592059802205,0.145
MetadataComiRecSA+LabelAware+DivReg,44,len_medium,182053,0.029002543215437264,0.011117175678087484,0.006285841064794287,0.14615
MetadataComiRecSA+LabelAware+DivReg,44,len_long,187368,0.025164382391870542,0.009219979161875582,0.004938030009560244,0.14785
MetadataComiRecSA+LabelAware+DivReg,44,div_homogeneous,184229,0.03582497869499373,0.01363101247262189,0.007653297734985257,0.1557
MetadataComiRecSA+LabelAware+DivReg,44,div_medium,189812,0.02685815438433819,0.010068126744370345,0.005539371258102996,0.14235
MetadataComiRecSA+LabelAware+DivReg,44,div_heterogeneous,184229,0.020061988069196488,0.007655207304872057,0.004292424148363134,0.13995
MetadataComiRecSA+LabelAware+DivReg,44,target_pop_head,299382,0.04500270557348137,0.01717002065064231,0.00964565600272936,0.1505
MetadataComiRecSA+LabelAware+DivReg,44,target_pop_mid,213442,0.008138042184762136,0.002958088712189941,0.0015768756407393732,0.15705
MetadataComiRecSA+LabelAware+DivReg,44,target_pop_tail,45446,0.004048761167099415,0.0013381763775142982,0.0006134810141843496,0.1369
MetadataSASRec+CL4SRec,42,all,558270,0.08768875275404374,0.03488302418332838,0.020535629654768628,0.6316
MetadataSASRec+CL4SRec,42,len_short,188849,0.09271958019369973,0.03654258349954956,0.021311079060305733,0.56535
MetadataSASRec+CL4SRec,42,len_medium,182053,0.08663960495020681,0.034510641206048846,0.02035673804296592,0.5609
MetadataSASRec+CL4SRec,42,len_long,187368,0.08363754750010674,0.03357216705112654,0.019927867976238925,0.5604
MetadataSASRec+CL4SRec,42,div_homogeneous,184229,0.10167237514180721,0.04026726619319668,0.023592821999918513,0.56685
MetadataSASRec+CL4SRec,42,div_medium,189812,0.08792910880239395,0.03528149539924758,0.020966252651177054,0.55155
MetadataSASRec+CL4SRec,42,div_heterogeneous,184229,0.07345749040596214,0.02908823541678188,0.017034764423187885,0.5517
MetadataSASRec+CL4SRec,42,target_pop_head,299382,0.13183825346881242,0.05383883649100002,0.032533831278350626,0.5815
MetadataSASRec+CL4SRec,42,target_pop_mid,213442,0.04119620318400315,0.014715378122656726,0.007653811403311381,0.58755
MetadataSASRec+CL4SRec,42,target_pop_tail,45446,0.01520485851340052,0.004728416741232643,0.001996604278636784,0.4998
MetadataSASRec+CL4SRec,43,all,558270,0.08240815376072509,0.032174590278721556,0.018550992095256104,0.56945
MetadataSASRec+CL4SRec,43,len_short,188849,0.08591520209267722,0.033563487175429056,0.019351969878951176,0.50725
MetadataSASRec+CL4SRec,43,len_medium,182053,0.0821683795378269,0.03223108845060177,0.01868588944158333,0.50315
MetadataSASRec+CL4SRec,43,len_long,187368,0.0791063575423765,0.030719819711006555,0.017612612435634716,0.50405
MetadataSASRec+CL4SRec,43,div_homogeneous,184229,0.09639633282490813,0.037504061951280865,0.021527072529348483,0.51625
MetadataSASRec+CL4SRec,43,div_medium,189812,0.08222873158704402,0.03234392664036513,0.018806397509101482,0.4982
MetadataSASRec+CL4SRec,43,div_heterogeneous,184229,0.068604834200913,0.026670650561086338,0.015311766269217729,0.4889
MetadataSASRec+CL4SRec,43,target_pop_head,299382,0.1242659879351464,0.049658234440546525,0.029320612118042474,0.52125
MetadataSASRec+CL4SRec,43,target_pop_mid,213442,0.03808997292004385,0.013447762835546733,0.006892958679432716,0.5275
MetadataSASRec+CL4SRec,43,target_pop_tail,45446,0.014808784051401664,0.004951141497104645,0.0023577866795616194,0.4516
MetadataSASRec+CL4SRec,44,all,558270,0.08419223673133072,0.03295438069346391,0.01904873818147706,0.5838
MetadataSASRec+CL4SRec,44,len_short,188849,0.08875874375824071,0.034834901999853875,0.02022216752127611,0.52365
MetadataSASRec+CL4SRec,44,len_medium,182053,0.08396455977105569,0.032621844282589074,0.018687466117310994,0.51675
MetadataSASRec+CL4SRec,44,len_long,187368,0.07981085350753597,0.031382098783098,0.018217057775569506,0.51315
MetadataSASRec+CL4SRec,44,div_homogeneous,184229,0.09840470284265777,0.03841943021687611,0.0221404097101002,0.52365
MetadataSASRec+CL4SRec,44,div_medium,189812,0.08420963901123217,0.03310050913543041,0.019216875038031087,0.511
MetadataSASRec+CL4SRec,44,div_heterogeneous,184229,0.06996184096966275,0.02733877435311981,0.01578383446347965,0.50525
MetadataSASRec+CL4SRec,44,target_pop_head,299382,0.12745255225765076,0.05117767742166574,0.030365971978537902,0.53335
MetadataSASRec+CL4SRec,44,target_pop_mid,213442,0.0392565661865987,0.013730646023407473,0.006940987058032145,0.54345
MetadataSASRec+CL4SRec,44,target_pop_tail,45446,0.010253927738414822,0.0031921431888135895,0.0013601963220979988,0.4634
MetadataSASRec+SimDCL,42,all,558270,0.0804700234653483,0.0326350183698511,0.019595429920759164,0.63955
MetadataSASRec+SimDCL,42,len_short,188849,0.08423661231989579,0.03366599584587744,0.01991094126276022,0.5767
MetadataSASRec+SimDCL,42,len_medium,182053,0.07922418196898705,0.03205047418644573,0.019176456012573926,0.5675
MetadataSASRec+SimDCL,42,len_long,187368,0.07788416378463772,0.032163854440318836,0.019684513731662245,0.56375
MetadataSASRec+SimDCL,42,div_homogeneous,184229,0.09412198948048353,0.037941982087029855,0.022642053697272072,0.57115
MetadataSASRec+SimDCL,42,div_medium,189812,0.08056392641139654,0.0331818069266516,0.020229392804454894,0.56445
MetadataSASRec+SimDCL,42,div_heterogeneous,184229,0.06672130880588832,0.02676469584627695,0.0158956312212968,0.565
MetadataSASRec+SimDCL,42,target_pop_head,299382,0.12504425783781256,0.052280021326120064,0.03232109637444333,0.59035
MetadataSASRec+SimDCL,42,target_pop_mid,213442,0.033222139972451534,0.011409251583692279,0.005625969349062294,0.59635
MetadataSASRec+SimDCL,42,target_pop_tail,45446,0.008735642300752541,0.002909846502527214,0.0013723548230002937,0.5072
MetadataSASRec+SimDCL,43,all,558270,0.08708510219069626,0.03451938815595513,0.02022375717927172,0.5881
MetadataSASRec+SimDCL,43,len_short,188849,0.090209638388342,0.03578338960672595,0.020981731948633703,0.5182
MetadataSASRec+SimDCL,43,len_medium,182053,0.08657369007926263,0.03426600659876738,0.020050323116857945,0.5198
MetadataSASRec+SimDCL,43,len_long,187368,0.08443277400623372,0.033491589720011365,0.01962830552341469,0.51745
MetadataSASRec+SimDCL,43,div_homogeneous,184229,0.10107529216355732,0.0398568164409873,0.023184565010199068,0.5342
MetadataSASRec+SimDCL,43,div_medium,189812,0.08727056245126757,0.03474841529820755,0.020475583284639907,0.5128
MetadataSASRec+SimDCL,43,div_heterogeneous,184229,0.07290383164431224,0.028945992135521865,0.0170034917346563,0.4999
MetadataSASRec+SimDCL,43,target_pop_head,299382,0.13398267096886252,0.054486002010942974,0.03275535663698468,0.53435
MetadataSASRec+SimDCL,43,target_pop_mid,213442,0.036918694539968704,0.012806556469054892,0.006395506663286285,0.54715
MetadataSASRec+SimDCL,43,target_pop_tail,45446,0.013752585486071382,0.004963111075054537,0.002615917936740976,0.46495
MetadataSASRec+SimDCL,44,all,558270,0.08240636251276263,0.03321442224088219,0.019825251234283487,0.6353
MetadataSASRec+SimDCL,44,len_short,188849,0.08600522110257401,0.034641752374022464,0.020661219704200907,0.5677
MetadataSASRec+SimDCL,44,len_medium,182053,0.08298132961280506,0.033424902627508815,0.019942837650707024,0.5597
MetadataSASRec+SimDCL,44,len_long,187368,0.078220400495282,0.0315713003943558,0.01886842419100721,0.55085
MetadataSASRec+SimDCL,44,div_homogeneous,184229,0.09618463976898317,0.03859217728971997,0.022939829687401533,0.5626
MetadataSASRec+SimDCL,44,div_medium,189812,0.08198111815902051,0.03334006440115387,0.020070851942468316,0.55475
